City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bambous Virieux,MU,2021-07-12 15:36:19,-20.3428,57.7575,71.22,88,75,18.41
68,Gubkinskiy,RU,2021-07-12 15:37:58,64.434,76.5026,50.09,52,95,14.54
69,Georgetown,MY,2021-07-12 15:32:34,5.4112,100.3354,82.89,83,20,1.01
70,Fortuna,US,2021-07-12 15:36:06,40.5982,-124.1573,53.33,96,90,5.75
71,Saint-Philippe,RE,2021-07-12 15:35:58,-21.3585,55.7679,71.19,79,22,15.52
72,Bowen,AU,2021-07-12 15:37:59,-20.0167,148.2333,59.22,92,74,7.36
73,Junction City,US,2021-07-12 15:37:59,39.0286,-96.8314,78.62,68,1,0.0
74,Provideniya,RU,2021-07-12 15:36:50,64.3833,-173.3,50.49,82,81,3.0
75,Abu Samrah,SY,2021-07-12 15:37:59,35.3029,37.1841,92.32,25,0,18.43
76,Erenhot,CN,2021-07-12 15:38:00,43.6475,111.9767,71.71,70,98,9.42
77,Yichun,CN,2021-07-12 15:38:00,47.7,128.9,65.62,90,61,2.82
78,Dwarka,IN,2021-07-12 15:38:00,22.2394,68.9678,84.67,79,100,8.63
79,Kobryn,BY,2021-07-12 15:38:01,52.2138,24.3564,80.35,58,46,6.44
80,Mufumbwe,ZM,2021-07-12 15:38:01,-13.6833,24.8,69.64,32,0,4.0
81,Rawa Mazowiecka,PL,2021-07-12 15:38:01,51.7644,20.2549,81.9,92,100,9.86
82,Belaya Gora,RU,2021-07-12 15:38:02,68.5333,146.4167,48.42,57,100,3.38
83,Qaqortoq,GL,2021-07-12 15:38:02,60.7167,-46.0333,48.7,84,100,15.01
84,Launceston,AU,2021-07-12 15:38:02,-41.45,147.1667,51.8,94,90,6.91
85,Kavieng,PG,2021-07-12 15:38:03,-2.5744,150.7967,82.06,78,58,16.28
86,Shitanjing,CN,2021-07-12 15:36:49,39.2342,106.3439,77.07,39,8,1.41
87,Tuktoyaktuk,CA,2021-07-12 15:36:38,69.4541,-133.0374,50.0,71,75,13.8
88,Morant Bay,JM,2021-07-12 15:36:39,17.8815,-76.4093,87.42,74,100,15.48
89,Port Alfred,ZA,2021-07-12 15:36:11,-33.5906,26.891,67.06,65,50,21.05
90,Loyga,RU,2021-07-12 15:38:04,61.0784,44.6075,67.1,96,90,6.42
91,El Reno,US,2021-07-12 15:37:53,35.5323,-97.955,79.75,58,1,0.0
92,Bendigo,AU,2021-07-12 15:38:04,-36.7667,144.2833,46.85,59,87,2.17
93,Torbay,CA,2021-07-12 15:36:05,47.6666,-52.7314,69.28,91,75,9.22
94,Katsuura,JP,2021-07-12 15:36:55,35.1333,140.3,79.11,86,100,10.74
95,Iquique,CL,2021-07-12 15:38:05,-20.2208,-70.1431,62.64,63,75,6.93
96,Alghero,IT,2021-07-12 15:38:05,40.5589,8.3181,89.69,35,0,10.36
97,Dragutesti,RO,2021-07-12 15:38:05,44.9667,23.2333,87.3,33,23,5.48
98,Bathsheba,BB,2021-07-12 15:37:30,13.2167,-59.5167,86.61,70,20,23.02
99,Kapaa,US,2021-07-12 15:36:26,22.0752,-159.319,75.52,84,90,10.36
100,Codrington,AU,2021-07-12 15:36:44,-38.2667,141.9667,50.32,93,83,12.66
101,Dubti,ET,2021-07-12 15:38:06,11.7361,41.0853,99.59,27,95,5.66
102,Ahipara,NZ,2021-07-12 15:38:06,-35.1667,173.1667,53.13,62,100,17.45
103,Atambua,ID,2021-07-12 15:38:07,-9.1061,124.8925,67.12,83,29,6.85
104,Victoria,HK,2021-07-12 15:32:52,22.2855,114.1577,88.32,81,72,1.99
105,Vao,NC,2021-07-12 15:36:33,-22.6667,167.4833,68.25,65,98,14.23
